UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
238722,"R",3102,"R",1674,"R",1428,"R",28,"R",19,"R",9,"R",124,"R",53,"R",71,"R",68,"R",37,"R",31,"R",146,"R",65,"R",81,"R",4,"R",1,"R",3,"R",2398,"R",1323,"R",1075,"R",21,"R",6,"R",15,"R",290,"R",157,"R",133,"R",23,"R",13,"R",10,"R",6,"A",,"R",6,"Z",0,"A",,"Z",0,"R",6,"A",,"R",6,"R",3096
238759,"R",2675,"R",973,"R",1702,"R",10,"R",4,"R",6,"R",66,"R",16,"R",50,"R",206,"R",57,"R",149,"R",541,"R",192,"R",349,"R",2,"R",1,"R",1,"R",1673,"R",644,"R",1029,"R",129,"R",38,"R",91,"R",46,"R",20,"R",26,"R",2,"R",1,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",2675
238810,"R",41,"R",3,"R",38,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",39,"R",3,"R",36,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
238980,"R",567,"R",207,"R",360,"R",10,"R",4,"R",6,"R",31,"R",9,"R",22,"R",35,"R",18,"R",17,"R",33,"R",10,"R",23,"R",0,"R",0,"R",0,"R",426,"R",157,"R",269,"R",9,"R",2,"R",7,"R",9,"R",3,"R",6,"R",14,"R",4,"R",10,"R",0,"S",,"S",,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
239008,"R",658,"R",273,"R",385,"R",1,"R",0,"R",1,"R",71,"R",28,"R",43,"R",12,"R",4,"R",8,"R",62,"R",25,"R",37,"R",0,"R",0,"R",0,"R",498,"R",212,"R",286,"R",11,"R",3,"R",8,"R",3,"R",1,"R",2,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"Z",0,"A",,"Z",0,"R",0,"A",,"R",0,"R",658
239017,"R",326,"R",146,"R",180,"R",1,"R",1,"R",0,"R",25,"R",6,"R",19,"R",16,"R",11,"R",5,"R",41,"R",18,"R",23,"R",0,"R",0,"R",0,"R",188,"R",88,"R",100,"R",10,"R",3,"R",7,"R",0,"R",0,"R",0,"R",45,"R",19,"R",26,"R",0,"R",0,"R",0,"Z",0,"A",,"Z",0,"R",0,"R",0,"R",0,"R",326
239071,"R",218,"R",106,"R",112,"R",1,"R",0,"R",1,"R",2,"R",1,"R",1,"R",6,"R",5,"R",1,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",185,"R",88,"R",97,"R",12,"R",5,"R",7,"R",4,"R",3,"R",1,"R",3,"R",2,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",218
239080,"R",374,"R",109,"R",265,"R",3,"R",1,"R",2,"R",4,"R",1,"R",3,"R",13,"R",3,"R",10,"R",27,"R",11,"R",16,"R",0,"R",0,"R",0,"R",295,"R",76,"R",219,"R",7,"R",4,"R",3,"R",16,"R",6,"R",10,"R",9,"R",7,"R",2,"R",7,"R",0,"R",7,"R",3,"R",0,"R",3,"R",10,"R",0,"R",10,"R",364
239105,"R",3196,"R",1303,"R",1893,"R",6,"R",3,"R",3,"R",189,"R",61,"R",128,"R",135,"R",47,"R",88,"R",373,"R",149,"R",224,"R",6,"R",3,"R",3,"R",2239,"R",925,"R",1314,"R",97,"R",34,"R",63,"R",53,"R",24,"R",29,"R",98,"R",57,"R",41,"R",0,"S",,"S",,"R",0,"R",0,"R",0,"R",0,"S",,"S",,"S",.
239169,"R",388,"R",163,"R",225,"R",1,"Z",0,"R",1,"R",41,"R",19,"R",22,"R",18,"R",3,"R",15,"R",28,"R",14,"R",14,"R",0,"R",0,"R",0,"R",238,"R",101,"R",137,"R",20,"R",7,"R",13,"R",23,"R",11,"R",12,"R",19,"R",8,"R",11,"Z",0,"A",,"Z",0,"R",0,"S",,"S",,"R",0,"S",,"S",,"S",.
239220,"R",863,"R",387,"R",476,"R",6,"R",2,"R",4,"R",20,"R",9,"R",11,"R",11,"R",4,"R",7,"R",43,"R",19,"R",24,"R",0,"R",0,"R",0,"R",755,"R",334,"R",421,"R",8,"R",3,"R",5,"R",20,"R",16,"R",4,"R",0,"R",0,"R",0,"R",3,"S",,"S",,"R",0,"S",,"S",,"R",3,"S",,"S",,"S",.
