UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
219602,"R",2328,"R",827,"R",1501,"R",5,"R",3,"R",2,"R",41,"R",10,"R",31,"R",411,"R",135,"R",276,"R",177,"R",53,"R",124,"R",4,"R",2,"R",2,"R",1456,"R",534,"R",922,"R",161,"R",61,"R",100,"R",52,"R",21,"R",31,"R",21,"R",8,"R",13,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",2328
219639,"R",203,"R",26,"R",177,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",75,"R",4,"R",71,"R",13,"R",4,"R",9,"R",1,"Z",0,"R",1,"R",107,"R",17,"R",90,"R",3,"Z",0,"R",3,"R",1,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"A",,"R",1,"R",0,"A",,"R",0,"R",1,"A",,"R",1,"R",202
219709,"R",2104,"R",712,"R",1392,"R",6,"Z",0,"R",6,"R",46,"R",10,"R",36,"R",107,"R",42,"R",65,"R",107,"R",40,"R",67,"R",3,"R",1,"R",2,"R",1716,"R",568,"R",1148,"R",71,"R",26,"R",45,"R",29,"R",15,"R",14,"R",19,"R",10,"R",9,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",2104
219718,"R",682,"R",306,"R",376,"R",6,"R",2,"R",4,"R",10,"R",6,"R",4,"R",194,"R",64,"R",130,"R",20,"R",8,"R",12,"R",0,"R",0,"R",0,"R",413,"R",207,"R",206,"R",17,"R",5,"R",12,"R",8,"R",5,"R",3,"R",14,"R",9,"R",5,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",682
219790,"R",311,"R",120,"R",191,"R",3,"R",1,"R",2,"R",4,"R",0,"R",4,"R",16,"R",7,"R",9,"R",8,"R",3,"R",5,"R",1,"R",0,"R",1,"R",262,"R",103,"R",159,"R",6,"R",1,"R",5,"R",10,"R",5,"R",5,"R",1,"R",0,"R",1,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",311
219806,"R",872,"R",290,"R",582,"R",8,"R",1,"R",7,"R",5,"R",2,"R",3,"R",62,"R",23,"R",39,"R",25,"R",3,"R",22,"R",0,"R",0,"R",0,"R",718,"R",234,"R",484,"R",18,"R",8,"R",10,"R",10,"R",2,"R",8,"R",26,"R",17,"R",9,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",872
219824,"R",1289,"R",443,"R",846,"R",5,"R",1,"R",4,"R",20,"R",9,"R",11,"R",123,"R",41,"R",82,"R",89,"R",30,"R",59,"R",0,"R",0,"R",0,"R",992,"R",347,"R",645,"R",54,"R",13,"R",41,"R",4,"R",2,"R",2,"R",2,"R",0,"R",2,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",1289
219833,"R",559,"R",255,"R",304,"R",2,"R",0,"R",2,"R",25,"R",16,"R",9,"R",115,"R",33,"R",82,"R",57,"R",21,"R",36,"R",0,"R",0,"R",0,"R",193,"R",87,"R",106,"R",24,"R",11,"R",13,"R",70,"R",36,"R",34,"R",73,"R",51,"R",22,"R",1,"A",,"R",1,"R",0,"A",,"R",0,"R",1,"A",,"R",1,"R",558
219842,"R",88,"R",57,"R",31,"Z",0,"Z",0,"Z",0,"R",6,"R",3,"R",3,"R",18,"R",10,"R",8,"R",15,"R",7,"R",8,"Z",0,"Z",0,"Z",0,"R",38,"R",30,"R",8,"R",1,"Z",0,"R",1,"R",9,"R",6,"R",3,"R",1,"R",1,"Z",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",88
219851,"R",55,"R",1,"R",54,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23,"R",1,"R",22,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",28,"R",0,"R",28,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",55
