UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW 
132693,"R",3882,"R",1499,"R",2383,"R",10,"R",1,"R",9,"R",123,"R",45,"R",78,"R",346,"R",105,"R",241,"R",569,"R",206,"R",363,"R",8,"R",4,"R",4,"R",2516,"R",1022,"R",1494,"R",195,"R",63,"R",132,"R",66,"R",33,"R",33,"R",49,"R",20,"R",29
132709,"R",9216,"R",3658,"R",5558,"R",13,"R",5,"R",8,"R",273,"R",129,"R",144,"R",2645,"R",875,"R",1770,"R",3311,"R",1365,"R",1946,"R",29,"R",11,"R",18,"R",1582,"R",723,"R",859,"R",336,"R",127,"R",209,"R",317,"R",114,"R",203,"R",710,"R",309,"R",401
132842,"R",218,"R",24,"R",194,"R",0,"R",0,"R",0,"R",1,"R",1,"R",0,"R",14,"R",3,"R",11,"R",175,"R",19,"R",156,"R",0,"R",0,"R",0,"R",17,"R",1,"R",16,"R",0,"R",0,"R",0,"R",4,"R",0,"R",4,"R",7,"R",0,"R",7
132851,"R",1940,"R",757,"R",1183,"R",9,"R",5,"R",4,"R",52,"R",19,"R",33,"R",194,"R",62,"R",132,"R",255,"R",97,"R",158,"R",6,"R",3,"R",3,"R",1280,"R",521,"R",759,"R",73,"R",25,"R",48,"R",36,"R",16,"R",20,"R",35,"R",9,"R",26
132879,"R",24,"R",8,"R",16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",2,"R",4,"Z",0,"Z",0,"Z",0,"R",17,"R",5,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
132903,"R",17448,"R",7144,"R",10304,"R",26,"R",10,"R",16,"R",1092,"R",517,"R",575,"R",1900,"R",623,"R",1277,"R",4440,"R",1709,"R",2731,"R",33,"R",13,"R",20,"R",8569,"R",3574,"R",4995,"R",627,"R",260,"R",367,"R",148,"R",66,"R",82,"R",613,"R",372,"R",241
132976,"R",316,"R",172,"R",144,"R",1,"R",0,"R",1,"R",1,"R",1,"R",0,"R",44,"R",21,"R",23,"R",36,"R",18,"R",18,"R",1,"R",0,"R",1,"R",227,"R",129,"R",98,"R",5,"R",2,"R",3,"R",1,"R",1,"R",0,"R",0,"R",0,"R",0
133021,"R",524,"R",201,"R",323,"R",4,"R",1,"R",3,"R",5,"R",4,"R",1,"R",104,"R",30,"R",74,"R",14,"R",7,"R",7,"R",1,"R",0,"R",1,"R",372,"R",154,"R",218,"R",13,"R",3,"R",10,"R",5,"R",0,"R",5,"R",6,"R",2,"R",4
133155,"R",380,"R",163,"R",217,"R",2,"R",0,"R",2,"R",2,"R",0,"R",2,"R",70,"R",17,"R",53,"R",217,"R",103,"R",114,"R",1,"R",1,"R",0,"R",87,"R",42,"R",45,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
133386,"R",3518,"R",1287,"R",2231,"R",11,"R",4,"R",7,"R",71,"R",26,"R",45,"R",358,"R",120,"R",238,"R",579,"R",232,"R",347,"R",5,"R",3,"R",2,"R",2276,"R",822,"R",1454,"R",137,"R",47,"R",90,"R",68,"R",29,"R",39,"R",13,"R",4,"R",9
133465,"R",224,"R",39,"R",185,"R",3,"R",1,"R",2,"R",8,"R",2,"R",6,"R",118,"R",18,"R",100,"R",48,"R",9,"R",39,"Z",0,"Z",0,"Z",0,"R",42,"R",9,"R",33,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"R",2,"R",0,"R",2
133492,"R",460,"R",154,"R",306,"R",3,"R",1,"R",2,"R",9,"R",3,"R",6,"R",16,"R",7,"R",9,"R",35,"R",12,"R",23,"R",2,"Z",0,"R",2,"R",358,"R",120,"R",238,"R",19,"R",4,"R",15,"R",2,"Z",0,"R",2,"R",16,"R",7,"R",9
133508,"R",3108,"R",1083,"R",2025,"R",15,"R",2,"R",13,"R",67,"R",25,"R",42,"R",306,"R",91,"R",215,"R",1006,"R",340,"R",666,"R",5,"R",1,"R",4,"R",1453,"R",533,"R",920,"R",69,"R",22,"R",47,"R",108,"R",39,"R",69,"R",79,"R",30,"R",49
133526,"R",122,"R",56,"R",66,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",108,"R",51,"R",57,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",6,"R",3,"R",3,"R",2,"R",0,"R",2,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0
133553,"R",1406,"R",1070,"R",336,"R",3,"R",3,"R",0,"R",51,"R",34,"R",17,"R",68,"R",48,"R",20,"R",184,"R",139,"R",45,"R",4,"R",4,"R",0,"R",747,"R",594,"R",153,"R",38,"R",17,"R",21,"R",42,"R",30,"R",12,"R",269,"R",201,"R",68
133650,"R",2156,"R",721,"R",1435,"R",0,"R",0,"R",0,"R",19,"R",10,"R",9,"R",1807,"R",565,"R",1242,"R",57,"R",23,"R",34,"R",1,"R",1,"R",0,"R",162,"R",86,"R",76,"R",81,"R",26,"R",55,"R",0,"R",0,"R",0,"R",29,"R",10,"R",19
133669,"R",8027,"R",3163,"R",4864,"R",8,"R",5,"R",3,"R",382,"R",158,"R",224,"R",1504,"R",479,"R",1025,"R",2119,"R",789,"R",1330,"R",6,"R",2,"R",4,"R",3317,"R",1414,"R",1903,"R",302,"R",115,"R",187,"R",53,"R",21,"R",32,"R",336,"R",180,"R",156
133702,"R",4426,"R",1655,"R",2771,"R",10,"R",3,"R",7,"R",202,"R",100,"R",102,"R",1147,"R",373,"R",774,"R",515,"R",187,"R",328,"R",16,"R",7,"R",9,"R",2190,"R",847,"R",1343,"R",132,"R",47,"R",85,"R",191,"R",84,"R",107,"R",23,"R",7,"R",16
133711,"R",728,"R",255,"R",473,"R",2,"Z",0,"R",2,"R",10,"R",2,"R",8,"R",46,"R",13,"R",33,"R",49,"R",14,"R",35,"R",0,"Z",0,"R",0,"R",550,"R",188,"R",362,"R",13,"R",4,"R",9,"R",28,"R",14,"R",14,"R",30,"R",20,"R",10
133809,"R",169,"R",77,"R",92,"R",1,"R",1,"R",0,"R",1,"R",0,"R",1,"R",4,"R",3,"R",1,"R",10,"R",5,"R",5,"R",0,"R",0,"R",0,"R",142,"R",65,"R",77,"R",6,"R",2,"R",4,"R",0,"R",0,"R",0,"R",5,"R",1,"R",4
133845,"R",339,"R",22,"R",317,"R",1,"Z",0,"R",1,"R",1,"Z",0,"R",1,"R",22,"R",1,"R",21,"R",20,"Z",0,"R",20,"Z",0,"Z",0,"Z",0,"R",15,"R",1,"R",14,"R",2,"Z",0,"R",2,"R",278,"R",20,"R",258,"Z",0,"Z",0,"Z",0
133854,"R",298,"R",57,"R",241,"R",1,"Z",0,"R",1,"R",10,"R",4,"R",6,"R",120,"R",22,"R",98,"R",53,"R",14,"R",39,"Z",0,"Z",0,"Z",0,"R",11,"R",3,"R",8,"Z",0,"Z",0,"Z",0,"R",103,"R",14,"R",89,"Z",0,"Z",0,"Z",0
133863,"R",285,"R",30,"R",255,"R",2,"Z",0,"R",2,"R",4,"R",2,"R",2,"R",32,"R",3,"R",29,"R",112,"R",7,"R",105,"Z",0,"Z",0,"Z",0,"R",29,"R",4,"R",25,"R",2,"Z",0,"R",2,"R",104,"R",14,"R",90,"Z",0,"Z",0,"Z",0
133872,"R",477,"R",117,"R",360,"Z",0,"Z",0,"Z",0,"R",33,"R",11,"R",22,"R",58,"R",16,"R",42,"R",125,"R",31,"R",94,"R",3,"R",1,"R",2,"R",224,"R",54,"R",170,"R",19,"R",2,"R",17,"R",10,"R",1,"R",9,"R",5,"R",1,"R",4
133881,"R",1841,"R",1108,"R",733,"R",4,"R",1,"R",3,"R",51,"R",27,"R",24,"R",115,"R",66,"R",49,"R",173,"R",87,"R",86,"R",5,"R",3,"R",2,"R",835,"R",494,"R",341,"R",59,"R",32,"R",27,"R",39,"R",26,"R",13,"R",560,"R",372,"R",188
